Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
50.8457,-0.00802232,1.67371,19,1,1.05547,0.667862,0.960176,0.970492,0.00375194,0.37294
22.9273,-119.515,4.69804,19,1,2.90849,0.64123,0.975758,0.978056,0.000139585,0.674813
130.301,-126.725,2.77313,17,1,1.82686,0.680077,0.976782,0.974232,0.0035271,0.303936
160.283,59.3305,3.09939,20,1,2.17111,0.735619,0.967568,0.97023,0.000979185,0.690777
89.4,-15.5213,3.19431,21,1,2.40089,0.774224,0.978969,0.974945,0.000702941,0.882015
139.028,-70.9842,2.60591,15,1,2.13148,0.83483,0.982274,0.986103,0.000272083,0.29317
84.8437,11.4184,4.49077,21,1,3.40589,0.789929,0.965803,0.977027,0.000976724,0.289701
134.86,-28.7244,3.77419,24,1,2.45138,0.688274,0.954665,0.965743,0.00233586,0.392584
55.6068,-123.04,2.35087,22,1,1.89066,0.84939,0.966758,0.958768,0.00177475,0.971265
94.7422,26.8078,2.89034,21,1,1.77719,0.637578,0.9789,0.973076,0.00206358,0.58763
57.4073,-31.9247,2.76164,14,1,1.74894,0.651176,0.980973,0.978398,0.00185167,0.229781
129.066,-100.374,2.71258,24,1,2.25713,0.873309,0.963159,0.976723,0.00250732,0.319004
119.727,-43.9718,4.51315,25,1,3.59422,0.824564,0.97686,0.977212,0.00183323,0.475401
136.882,9.93596,1.79215,18,1,1.41592,0.829609,0.963536,0.976401,0.00333464,0.301083
50.6702,16.5241,3.46312,23,1,2.58108,0.77567,0.969834,0.976984,0.00157207,0.865769
55.2134,-142.29,1.68872,18,1,1.13043,0.702757,0.968626,0.964894,0.0028145,0.95515
130.934,-118.494,3.90358,23,1,3.21695,0.855447,0.969021,0.98145,0.000951211,0.738154
80.8049,-81.8745,4.50721,26,1,3.38231,0.797115,0.966592,0.965917,0.00464508,0.739822
161.147,-31.6408,4.00425,14,1,3.39754,0.866356,0.984524,0.987087,0.000412864,0.160285
95.3053,-13.5599,2.01482,14,1,1.14829,0.589024,0.96757,0.97426,0.00168577,0.296384
78.9779,51.1242,4.1111,25,1,2.4063,0.610225,0.974988,0.973549,0.00152729,0.253684
21.0978,7.98898,2.99589,21,1,1.96704,0.686298,0.970182,0.972546,0.00406114,0.283184
130.478,-164.734,2.05895,13,1,1.63268,0.802268,0.994285,0.985284,0.000401118,0.180448
156.656,-137.163,2.72986,25,1,1.45779,0.571457,0.95354,0.958649,0.00209582,0.436979
113.695,-10.7096,2.78423,17,1,2.34282,0.865339,0.974336,0.983057,0.0021657,0.233367
69.2345,64.4176,1.53312,14,1,1.05816,0.712654,0.974271,0.979909,0.000304972,0.25156
110.488,-135.848,3.93727,23,1,1.77175,0.470481,0.970567,0.964443,0.00399336,0.6915
115.455,-68.86,4.9038,27,1,3.8756,0.8269,0.96759,0.977365,0.00140531,0.291532
43.1989,-179.666,3.998,27,1,2.93552,0.77519,0.966986,0.972674,0.0022335,0.796504
71.8027,170.89,3.69538,21,1,1.29132,0.362531,0.969053,0.966592,0.001425,0.408969
125.776,96.4629,1.40485,15,1,1.00058,0.74178,0.96666,0.975644,0.00302608,0.29967
74.4624,2.55081,5.0808,32,1,4.05791,0.848162,0.966689,0.967791,0.00183779,0.842555
0.730396,167.638,1.10967,7,1,0.850758,0.835044,0.949666,0.9257,0.0105612,0.488803
37.8191,51.1451,3.4236,29,1,1.54725,0.479466,0.971777,0.951213,0.000227418,0.964787
119.813,80.5949,3.86277,27,1,2.3757,0.655965,0.952434,0.966001,0.00367715,0.70107
35.9211,-103.58,4.04362,24,1,2.93563,0.759095,0.970286,0.970472,0.00119484,0.942316
135.973,50.8065,3.42151,22,1,2.65574,0.809738,0.973582,0.976257,0.00117623,0.302209
126.918,-39.6975,1.34578,13,1,1.13161,0.862606,0.983461,0.984487,0.00147024,0.220887
66.881,76.4766,2.02773,17,1,1.50651,0.77098,0.981197,0.968985,0.00527024,0.364989
93.2549,167.112,4.25146,26,1,2.31275,0.579631,0.955916,0.964927,0.00322678,0.356091
150.509,69.7486,3.15333,18,1,2.02075,0.66894,0.985581,0.948994,0.00436643,0.726975
66.1287,84.5214,3.56357,22,1,2.82957,0.823889,0.974746,0.979663,0.000811931,0.270746
