Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
49.9085,2.28061,0.201656,4,1,0.171442,1,1,0.845587,0.0268096,0.681305
91.4437,50.8585,0.517213,14,1,0.196177,0.452177,0.94721,0.887481,0.0240333,0.882948
21.5649,-15.0972,1.37687,22,2,0.629236,0.572265,0.880997,0.866884,0.0152121,0.799525
92.4443,3.56594,0.956886,18,2,0.345639,0.542478,0.833899,0.734324,0.0496278,0.908339
108.506,-84.915,0.759574,14,1,0.491971,0.930898,0.799791,0.883198,0.0115302,0.944113
97.3716,38.3372,0.915771,23,1,0.245303,0.461334,0.699703,0.833461,0.027505,0.965649
63.8539,105.986,2.15356,34,2,1.32321,0.762178,0.870853,0.865712,0.0192816,0.983002
140.923,-77.9192,0.106224,9,1,0.0284323,1,1,0.0505707,0.0168956,0.995861
62.6097,155.047,0.456599,11,1,0.204034,0.536292,1,0.727547,0.0697608,0.990785
158.6,91.1034,1.29362,29,1,0.597296,0.639848,0.868161,0.783006,0.0140394,0.990153
76.2746,-178.121,0.959904,26,1,0.446023,0.621149,0.926973,0.567115,0.102299,0.997272
151.151,-37.5165,0.69306,10,1,0.530351,0.809266,1,0.930035,0.00542074,0.945422
101.935,2.47606,0.821723,27,1,0.299644,0.467253,0.949478,0.789035,0.0124363,0.976122
21.3014,171.165,0.793476,17,1,0.30965,0.473853,0.897041,0.878189,0.0172531,0.862931
4.97193,-48.4674,2.90483,36,3,0.815935,0.440757,0.8196,0.536186,0.0576959,0.964281
122.1,-21.4914,1.21474,24,2,0.498239,0.585632,0.8276,0.848384,0.0379665,0.889696
78.2412,-78.9645,0.790152,9,1,0.367146,0.558303,0.838092,0.930745,0.0203906,0.425503
157.45,-53.8523,1.0092,18,1,0.533314,0.618738,0.926842,0.895168,0.00710538,0.951991
150.632,-46.2266,0.326103,8,1,0.167736,0.576242,1,0.739074,0.0733288,0.980838
91.5189,156.148,0.904406,32,1,0.484613,0.721948,0.932438,0.76401,0.022833,0.970074
155.885,-19.6638,0.198622,7,1,0.0795998,0.436258,0.975186,0.884792,0.0190145,0.923667
121.245,153.635,0.91117,15,2,0.404971,0.683551,0.813623,0.755669,0.0788356,0.982614
139.889,153.582,0.53898,6,1,0.289735,0.554063,0.97933,0.962368,0.00620418,0.422376
22.665,103.903,0.538202,5,1,0.383549,0.738617,0.964843,0.974469,0.00703707,0.210004
161.349,145.317,0.125425,9,1,0.0263015,0.31072,0.93483,0.22043,0.250999,0.995132
92.8952,80.501,0.601829,13,1,0.309691,0.641747,0.881135,0.911946,0.0184527,0.908495
44.1533,176.661,0.433048,3,1,0.39929,0.937027,1,0.994471,0.000836173,0.0503995
4.93177,175.695,1.45489,17,1,0.537581,0.491368,0.933931,0.573553,0.100587,0.959213
75.242,-171.106,1.54426,21,1,0.916414,0.724511,0.845048,0.919906,0.0110665,0.867981
101.906,110.862,0.441811,15,1,0.282045,0.852446,0.934318,0.88803,0.0331427,0.91672
109.908,-135.424,0.41332,9,1,0.172537,0.45058,0.974685,0.939216,0.00611042,0.607552
139.092,154.079,0.64658,12,1,0.249647,0.510047,0.825749,0.875549,0.00809556,0.970718
1.89483,-113.635,0.190008,3,1,0.111175,0.655074,0.893193,0.869174,0.0400889,0.602793
67.1623,68.9401,0.364835,9,1,0.179919,0.603074,0.897548,0.87782,0.00262313,0.934413
39.2201,-87.2281,0.229132,8,1,0.117297,0.576605,1,0.849889,0.00699062,0.916149
56.2399,83.7381,0.749815,9,1,0.333944,0.500033,0.914677,0.956917,0.0135279,0.415883
23.1622,21.2536,1.8349,23,1,0.828607,0.529493,0.879854,0.909735,0.0082459,0.914895
32.5252,34.3256,0.141307,9,1,0.0490504,0.38962,0.934269,0.939276,0.0143298,0.641874
109.699,37.7448,1.10338,35,1,0.553885,0.697663,0.897947,0.65016,0.0903381,0.989269
120.74,99.0046,1.4776,26,1,0.537687,0.44861,0.889947,0.858956,0.0181457,0.966248
71.9326,-10.4182,0.393905,8,1,0.12984,0.496829,0.663453,0.937107,0.00697112,0.376647
61.9654,-124.179,0.93152,23,2,0.342948,0.597003,0.774109,0.80428,0.0123679,0.948057
107.299,-43.0127,0.97919,12,1,0.382774,0.507833,0.817584,0.916224,0.0174843,0.732532
158.833,-134.225,1.04445,22,1,0.144559,0.621109,0.615697,0.714902,0.0780059,0.962804
130.453,27.0438,0.248147,12,1,0.0761056,0.407204,0.797478,0.879076,0.0245948,0.891285
158.425,171.398,0.216564,19,1,0.0311522,0.479312,0.684712,0.0390162,0.0266492,0.999187
55.0607,157.182,0.201485,5,1,0.0990577,0.522672,1,0.89541,0.0117801,0.657663
137.839,134.841,0.14827,4,1,0.0805198,0.566481,0.958661,0.970367,0.00420509,0.184817
62.528,81.9919,0.372229,18,1,0.141164,0.533524,0.979387,0.217817,0.305329,0.9951
106.103,103.106,0.660084,16,1,0.159044,0.545984,0.79833,0.790673,0.0199506,0.847271
105.554,134.118,2.18105,30,1,0.677373,0.426837,0.790488,0.888606,0.00680975,0.917232
94.2952,-48.0288,0.378798,4,1,0.317704,0.896746,1,0.96466,0.0180861,0.361202
91.9957,121.257,0.803691,20,1,0.543499,0.822646,0.966776,0.806165,0.00537784,0.97327
152.322,-169.634,1.33328,20,1,0.516732,0.424853,0.956994,0.918703,0.00487942,0.921941
110.444,40.0447,0.185624,7,1,0.0921775,0.794235,0.860739,0.414078,0.0767645,0.990627
102.554,-45.1731,1.53872,31,1,0.530438,0.410695,0.934095,0.844973,0.0147807,0.976316
89.9958,-150.076,0.419575,14,1,0.292107,0.8453,0.915484,0.858616,0.017654,0.873772
